air_store_id,visit_date,reserve_visitors,hpg_store_id
air_03963426c9312048,2016-02-16,8,
air_03963426c9312048,2016-02-17,8,
air_03963426c9312048,2016-02-18,28,
air_03963426c9312048,2016-02-19,53,
air_03963426c9312048,2016-02-20,7,
air_03963426c9312048,2016-02-21,2,
air_03963426c9312048,2016-02-22,2,
air_03963426c9312048,2016-02-24,30,
air_03963426c9312048,2016-02-26,29,
air_03963426c9312048,2016-02-27,70,
air_03963426c9312048,2016-02-28,3,
air_03963426c9312048,2016-03-01,9,
air_03963426c9312048,2016-03-02,19,
air_03963426c9312048,2016-03-03,4,
air_03963426c9312048,2016-03-04,36,
air_03963426c9312048,2016-03-05,35,
air_03963426c9312048,2016-03-06,16,
air_03963426c9312048,2016-03-07,19,
air_03963426c9312048,2016-03-08,34,
air_03963426c9312048,2016-03-09,42,
air_03963426c9312048,2016-03-10,13,
air_03963426c9312048,2016-03-11,59,
air_03963426c9312048,2016-03-13,20,
air_03963426c9312048,2016-03-14,25,
air_03963426c9312048,2016-03-15,7,
air_03963426c9312048,2016-03-16,13,
air_03963426c9312048,2016-03-17,44,
air_03963426c9312048,2016-03-18,91,
air_03963426c9312048,2016-03-19,64,
air_03963426c9312048,2016-03-20,19,
air_03963426c9312048,2016-03-22,34,
air_03963426c9312048,2016-03-23,57,
air_03963426c9312048,2016-03-24,62,
air_03963426c9312048,2016-03-25,72,
air_03963426c9312048,2016-03-26,45,
air_03963426c9312048,2016-03-27,2,
air_03963426c9312048,2016-03-28,21,
air_03963426c9312048,2016-03-29,36,
air_03963426c9312048,2016-03-30,38,
air_03963426c9312048,2016-04-01,16,
air_03963426c9312048,2016-04-02,23,
air_03963426c9312048,2016-04-03,10,
air_03963426c9312048,2016-04-04,25,
air_03963426c9312048,2016-04-05,22,
air_03963426c9312048,2016-04-06,43,
air_03963426c9312048,2016-04-07,26,
air_03963426c9312048,2016-04-08,62,
air_03963426c9312048,2016-04-09,27,
air_03963426c9312048,2016-04-10,15,
air_03963426c9312048,2016-04-11,35,
air_03963426c9312048,2016-04-13,23,
air_03963426c9312048,2016-04-14,43,
air_03963426c9312048,2016-04-15,27,
air_03963426c9312048,2016-04-16,27,
air_03963426c9312048,2016-04-17,4,
air_03963426c9312048,2016-04-18,10,
air_03963426c9312048,2016-04-19,11,
air_03963426c9312048,2016-04-21,27,
air_03963426c9312048,2016-04-22,73,
air_03963426c9312048,2016-04-23,42,
air_03963426c9312048,2016-04-24,16,
air_03963426c9312048,2016-04-26,35,
air_03963426c9312048,2016-04-27,27,
air_03963426c9312048,2016-04-28,65,
air_03963426c9312048,2016-04-29,32,
air_03963426c9312048,2016-04-30,32,
air_03963426c9312048,2016-05-01,25,
air_03963426c9312048,2016-05-02,4,
air_03963426c9312048,2016-05-03,23,
air_03963426c9312048,2016-05-04,17,
air_03963426c9312048,2016-05-05,4,
air_03963426c9312048,2016-05-06,32,
air_03963426c9312048,2016-05-07,19,
air_03963426c9312048,2016-05-08,7,
air_03963426c9312048,2016-05-10,7,
air_03963426c9312048,2016-05-11,41,
air_03963426c9312048,2016-05-12,32,
air_03963426c9312048,2016-05-13,48,
air_03963426c9312048,2016-05-14,48,
air_03963426c9312048,2016-05-15,24,
air_03963426c9312048,2016-05-17,16,
air_03963426c9312048,2016-05-19,10,
air_03963426c9312048,2016-05-21,46,
air_03963426c9312048,2016-05-22,12,
air_03963426c9312048,2016-05-23,7,
air_03963426c9312048,2016-10-27,42,
air_03963426c9312048,2016-10-28,54,
air_03963426c9312048,2016-10-29,4,
air_03963426c9312048,2016-10-31,12,
air_03963426c9312048,2016-11-01,12,
air_03963426c9312048,2016-11-02,21,
air_03963426c9312048,2016-11-03,2,
air_03963426c9312048,2016-11-04,52,
air_03963426c9312048,2016-11-05,54,
air_03963426c9312048,2016-11-07,8,
air_03963426c9312048,2016-11-08,9,
air_03963426c9312048,2016-11-09,28,
air_03963426c9312048,2016-11-10,10,
air_03963426c9312048,2016-11-11,8,
air_03963426c9312048,2016-11-12,53,
air_03963426c9312048,2016-11-14,5,
air_03963426c9312048,2016-11-15,3,
air_03963426c9312048,2016-11-16,5,
air_03963426c9312048,2016-11-17,14,
air_03963426c9312048,2016-11-18,53,
air_03963426c9312048,2016-11-19,54,
air_03963426c9312048,2016-11-21,5,
air_03963426c9312048,2016-11-22,49,
air_03963426c9312048,2016-11-23,2,
air_03963426c9312048,2016-11-24,8,
air_03963426c9312048,2016-11-25,78,
air_03963426c9312048,2016-11-28,20,
air_03963426c9312048,2016-11-29,3,
air_03963426c9312048,2016-11-30,26,
air_03963426c9312048,2016-12-01,21,
air_03963426c9312048,2016-12-02,64,
air_03963426c9312048,2016-12-03,4,
air_03963426c9312048,2016-12-05,7,
air_03963426c9312048,2016-12-06,10,
air_03963426c9312048,2016-12-07,49,
air_03963426c9312048,2016-12-08,31,
air_03963426c9312048,2016-12-09,22,
air_03963426c9312048,2016-12-10,62,
air_03963426c9312048,2016-12-12,22,
air_03963426c9312048,2016-12-13,23,
air_03963426c9312048,2016-12-14,4,
air_03963426c9312048,2016-12-15,65,
air_03963426c9312048,2016-12-16,30,
air_03963426c9312048,2016-12-17,22,
air_03963426c9312048,2016-12-19,44,
air_03963426c9312048,2016-12-20,17,
air_03963426c9312048,2016-12-21,48,
air_03963426c9312048,2016-12-22,69,
air_03963426c9312048,2016-12-23,39,
air_03963426c9312048,2016-12-24,24,
air_03963426c9312048,2016-12-26,24,
air_03963426c9312048,2016-12-27,11,
air_03963426c9312048,2016-12-28,37,
air_03963426c9312048,2016-12-29,83,
air_03963426c9312048,2016-12-30,9,
air_03963426c9312048,2017-01-03,23,
air_03963426c9312048,2017-01-04,5,
air_03963426c9312048,2017-01-05,4,
air_03963426c9312048,2017-01-06,36,
air_03963426c9312048,2017-01-07,59,
air_03963426c9312048,2017-01-09,5,
air_03963426c9312048,2017-01-10,23,
air_03963426c9312048,2017-01-11,14,
air_03963426c9312048,2017-01-12,37,
air_03963426c9312048,2017-01-13,39,
air_03963426c9312048,2017-01-14,63,
air_03963426c9312048,2017-01-16,11,
air_03963426c9312048,2017-01-17,37,
air_03963426c9312048,2017-01-19,2,
air_03963426c9312048,2017-01-20,70,
air_03963426c9312048,2017-01-21,51,
air_03963426c9312048,2017-01-23,33,
air_03963426c9312048,2017-01-24,6,
air_03963426c9312048,2017-01-25,33,
air_03963426c9312048,2017-01-26,14,
air_03963426c9312048,2017-01-27,49,
air_03963426c9312048,2017-01-28,63,
air_03963426c9312048,2017-01-30,24,
air_03963426c9312048,2017-01-31,6,
air_03963426c9312048,2017-02-01,2,
air_03963426c9312048,2017-02-02,29,
air_03963426c9312048,2017-02-03,40,
air_03963426c9312048,2017-02-04,25,
air_03963426c9312048,2017-02-06,34,
air_03963426c9312048,2017-02-07,18,
air_03963426c9312048,2017-02-08,18,
air_03963426c9312048,2017-02-09,17,
air_03963426c9312048,2017-02-10,60,
air_03963426c9312048,2017-02-11,62,
air_03963426c9312048,2017-02-13,12,
air_03963426c9312048,2017-02-14,27,
air_03963426c9312048,2017-02-15,19,
air_03963426c9312048,2017-02-16,7,
air_03963426c9312048,2017-02-17,42,
air_03963426c9312048,2017-02-18,60,
air_03963426c9312048,2017-02-20,15,
air_03963426c9312048,2017-02-21,35,
air_03963426c9312048,2017-02-22,21,
air_03963426c9312048,2017-02-23,6,
air_03963426c9312048,2017-02-24,47,
air_03963426c9312048,2017-02-25,53,
air_03963426c9312048,2017-02-27,32,
air_03963426c9312048,2017-02-28,17,
air_03963426c9312048,2017-03-01,24,
air_03963426c9312048,2017-03-02,20,
air_03963426c9312048,2017-03-03,51,
air_03963426c9312048,2017-03-04,47,
air_03963426c9312048,2017-03-06,3,
air_03963426c9312048,2017-03-07,16,
air_03963426c9312048,2017-03-08,22,
air_03963426c9312048,2017-03-09,27,
air_03963426c9312048,2017-03-10,54,
air_03963426c9312048,2017-03-11,15,
air_03963426c9312048,2017-03-13,23,
air_03963426c9312048,2017-03-14,6,
air_03963426c9312048,2017-03-15,18,
air_03963426c9312048,2017-03-16,53,
air_03963426c9312048,2017-03-17,53,
air_03963426c9312048,2017-03-18,35,
air_03963426c9312048,2017-03-19,23,
air_03963426c9312048,2017-03-21,23,
air_03963426c9312048,2017-03-22,23,
air_03963426c9312048,2017-03-23,34,
air_03963426c9312048,2017-03-24,78,
air_03963426c9312048,2017-03-25,68,
air_03963426c9312048,2017-03-27,30,
air_03963426c9312048,2017-03-28,9,
air_03963426c9312048,2017-03-29,29,
air_03963426c9312048,2017-03-30,35,
air_03963426c9312048,2017-03-31,41,
air_03963426c9312048,2017-04-01,32,
air_03963426c9312048,2017-04-03,15,
air_03963426c9312048,2017-04-04,31,
air_03963426c9312048,2017-04-06,12,
air_03963426c9312048,2017-04-07,71,
air_03963426c9312048,2017-04-08,58,
air_03963426c9312048,2017-04-10,26,
air_03963426c9312048,2017-04-11,14,
air_03963426c9312048,2017-04-12,40,
air_03963426c9312048,2017-04-13,33,
air_03963426c9312048,2017-04-14,68,
air_03963426c9312048,2017-04-15,70,
air_03963426c9312048,2017-04-17,32,
air_03963426c9312048,2017-04-18,26,
air_03963426c9312048,2017-04-19,18,
air_03963426c9312048,2017-04-20,21,
air_03963426c9312048,2017-04-21,75,
air_03963426c9312048,2017-04-22,55,
air_03963426c9312048,2017-04-24,8,
air_03963426c9312048,2017-04-26,24,
air_03963426c9312048,2017-04-27,2,
air_03963426c9312048,2017-04-28,32,
air_03963426c9312048,2017-04-29,22,
air_03963426c9312048,2017-05-01,28,
air_03963426c9312048,2017-05-02,20,
air_03963426c9312048,2017-05-03,4,
air_03963426c9312048,2017-05-04,2,
air_03963426c9312048,2017-05-05,2,
air_03963426c9312048,2017-05-06,4,
air_03963426c9312048,2017-05-08,17,
air_03963426c9312048,2017-05-12,21,
air_03963426c9312048,2017-05-15,5,
air_03963426c9312048,2017-05-19,35,
air_03963426c9312048,2017-05-26,31,
air_04341b588bde96cd,2016-11-02,29,
air_04341b588bde96cd,2016-11-03,15,
air_04341b588bde96cd,2016-11-05,36,
air_04341b588bde96cd,2016-11-09,12,
air_04341b588bde96cd,2016-11-13,6,
air_04341b588bde96cd,2016-11-16,16,
air_04341b588bde96cd,2016-11-19,37,
air_04341b588bde96cd,2016-11-22,10,
air_04341b588bde96cd,2016-11-24,24,
air_04341b588bde96cd,2016-12-05,10,
air_04341b588bde96cd,2016-12-23,13,
air_04cae7c1bc9b2a0b,2016-10-27,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-10-28,23,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-10-29,26,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-10-30,7,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-10-31,13,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-01,8,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-02,19,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-03,5,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-04,25,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-05,26,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-06,12,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-07,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-09,11,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-10,7,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-11,5,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-12,37,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-13,11,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-14,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-15,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-16,14,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-17,24,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-18,21,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-19,34,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-20,22,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-22,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-23,3,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-24,5,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-25,28,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-26,24,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-27,9,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-28,3,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-29,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-11-30,18,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-01,13,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-02,22,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-03,30,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-04,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-05,9,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-07,15,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-09,19,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-10,37,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-11,7,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-12,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-13,16,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-14,17,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-15,14,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-16,23,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-17,36,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-18,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-19,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-20,12,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-21,10,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-22,42,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-23,23,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-24,24,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-25,3,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-26,42,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-27,42,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-28,38,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-29,52,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2016-12-30,48,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-01,19,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-02,31,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-03,19,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-04,7,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-05,12,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-06,21,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-07,25,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-12,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-13,28,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-14,17,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-15,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-17,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-18,21,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-19,9,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-20,26,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-21,34,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-22,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-23,26,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-24,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-25,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-26,11,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-27,33,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-28,36,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-29,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-30,9,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-01-31,14,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-01,7,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-02,12,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-03,13,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-04,37,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-05,14,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-06,7,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-09,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-10,29,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-11,38,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-12,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-13,18,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-15,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-17,13,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-18,21,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-19,20,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-20,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-21,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-22,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-24,28,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-25,36,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-26,16,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-27,7,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-02-28,9,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-01,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-02,4,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-03,15,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-04,36,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-05,19,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-06,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-07,2,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-08,13,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-09,6,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-10,9,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-11,30,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-12,10,hpg_1803b7bed3a5927e
air_04cae7c1bc9b2a0b,2017-03-14,2,hpg_1803b7bed3a5927e
