air_store_id,min_visitors,mean_visitors,median_visitors,max_visitors,count_observations,air_genre_name,air_area_name,latitude,longitude
air_0e1eae99b8723bc1,3,11.74603175,12,22,63,Cafe/Sweets,Tōkyō-to Kōtō-ku Tōyō,35.6728535,139.8174097
air_0e7c11b9abc50163,8,28,17,70,5,Cafe/Sweets,Tōkyō-to Shibuya-ku Jingūmae,35.6692904,139.7070557
air_0f0cdeee6c9bf3d7,2,16.91666667,15,39,36,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.1978525
air_0f2f96335f274801,2,7.41509434,7,20,53,Izakaya,Tōkyō-to Chiyoda-ku Kanda Jinbōchō,35.6956944,139.7593864
air_0f60e1576a7d397d,2,3,3,4,2,Cafe/Sweets,Fukuoka-ken Itoshima-shi Maebarunishi,33.5573203,130.195555
air_1033310359ceeac1,2,11.08695652,10,35,46,Izakaya,Tōkyō-to Kōtō-ku Tomioka,35.6712704,139.7969871
air_10393f12e9069760,1,9.842105263,9,26,38,Dining bar,Tōkyō-to Toshima-ku Minamiikebukuro,35.7261178,139.7166049
air_105a7954e32dba9b,38,49.17142857,49,60,35,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,33.5869938,130.3948938
air_10713fbf3071c361,2,8,8,16,40,Cafe/Sweets,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_10bbe8acd943d8f6,5,29.3902439,20,94,41,Asian,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_12c4fb7a423df20d,2,16.47619048,15.5,44,42,Western food,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_138ee734ac79ff90,1,7.627118644,7,18,59,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Shiobaru,33.5615691,130.4264283
air_138ff410757b845f,6,39.94444444,40,71,36,Dining bar,Tōkyō-to Shinagawa-ku Hiromachi,35.6092261,139.7301861
air_1408dd53f31a8a65,4,20.85714286,16.5,89,42,Izakaya,Hokkaidō Asahikawa-shi 6 Jōdōri,43.7706355,142.364819
air_142e78ba7001da9c,1,9.921875,10,28,64,Italian/French,Hyōgo-ken Nishinomiya-shi Rokutanjichō,34.7375965,135.3415643
air_1509881b22965b34,1,11.13333333,9,57,30,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614
air_152c1f08d7d20e07,4,8.333333333,8,13,3,Izakaya,Hiroshima-ken Hiroshima-shi Nagarekawachō,34.3889694,132.4630947
air_15ae33469e9ea2dd,2,8.647058824,6.5,27,34,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_15e6e15c7ea2c162,5,13.94871795,12,36,39,Dining bar,Tōkyō-to Minato-ku Akasaka,35.6749184,139.736775
air_16179d43b6ee5fd8,1,7.6,7,17,35,Cafe/Sweets,Tōkyō-to Meguro-ku Kamimeguro,35.6414629,139.6981712
air_1653a6c513865af3,5,29.39344262,28,55,61,Yakiniku/Korean food,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,44.0206319,144.2733983
air_168441ada3e878e1,9,33.9047619,34,64,42,Cafe/Sweets,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,34.7202277,135.265455
air_16c4cfddeb2cf69b,1,9.393939394,9,18,33,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_16cf0a73233896de,1,8.708333333,3.5,72,24,Bar/Cocktail,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_1707a3f18bb0da07,1,15.5625,15,39,32,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
air_17a6ab40f97fd4d8,2,6.5,4,28,12,Izakaya,Tōkyō-to Taitō-ku Asakusa,35.7118769,139.7966971
air_17bed6dbf7c8b0fc,1,9.25,9,18,4,Cafe/Sweets,Niigata-ken Kashiwazaki-shi Chūōchō,37.3718999,138.5589836
air_1979eaff8189d086,2,8.352941176,7.5,20,34,Dining bar,Tōkyō-to Tachikawa-shi Izumichō,35.7140142,139.4078431
air_1ab60ce33bfed8a8,1,8.435897436,8,16,39,Bar/Cocktail,Tōkyō-to Toshima-ku Minamiikebukuro,35.7261178,139.7166049
air_1ae94f514a0bce13,4,22.5,20.5,74,36,Bar/Cocktail,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_1ba4e87ef7422183,8,29.85,29.5,59,40,Izakaya,Tōkyō-to Edogawa-ku Chūō,35.7066569,139.8684267
air_1c0b150f9e696a5f,99,115.8333333,114.5,136,6,Okonomiyaki/Monja/Teppanyaki,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_1c95a84924d72500,1,8.80952381,8,25,63,Izakaya,Ōsaka-fu Higashiōsaka-shi Aramotokita,34.6793301,135.6010123
air_1d1e8860ae04f8e9,2,9.982142857,7,38,56,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_1d25ca6c76df48b4,9,38.53846154,37,75,39,Izakaya,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_1d3f797dd1f7cf1c,6,29.05,24.5,73,40,Cafe/Sweets,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
air_1dd8f6f47480d1a2,20,36.15,36.5,52,40,Japanese food,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
air_1dea9815ccd36620,2,10.8,8.5,74,40,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_1e23210b584540e7,1,14.54545455,8,85,66,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_1e665503b8474c55,1,8,6,29,68,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_1eeff462acb24fb7,2,15.73076923,17,24,26,Japanese food,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_1f1390a8be2272b3,4,13.70769231,12,29,65,Japanese food,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_1f34e9beded2231a,2,5.25,5.5,11,16,Japanese food,Hokkaidō Sapporo-shi Minami 3 Jōnishi,43.0568187,141.3539573
air_1f7f8fa557bc0d55,1,3.224137931,3,13,58,Bar/Cocktail,Ōsaka-fu Neyagawa-shi Honmachi,34.7660929,135.6280998
air_2009041dbf9264de,1,35.38,37,66,50,Cafe/Sweets,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_20619d21192aa571,2,19.1969697,18.5,35,66,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.5098009
air_20add8092c9bb51d,2,21.5,20,65,42,Dining bar,Shizuoka-ken Hamamatsu-shi Motoshirochō,34.7108955,137.7259397
air_2195cd5025a98033,10,22.025,23,42,40,Cafe/Sweets,Tōkyō-to Adachi-ku Chūōhonchō,35.7756644,139.8044788
air_21f5052d5330528d,5,31.04878049,30,65,41,Izakaya,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,34.7569503,134.8411775
air_220cba70c890b119,1,9.219512195,8,25,41,Bar/Cocktail,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_22682e965418936f,1,4.972972973,5,14,37,Bar/Cocktail,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_228f10bec0bda9c8,2,5.666666667,6,9,3,Italian/French,Ōsaka-fu Suita-shi Izumichō,34.7594526,135.51686
air_232dcee6f7c51d37,1,6.597014925,7,16,67,Cafe/Sweets,Tōkyō-to Shinjuku-ku Nishishinjuku,35.6921398,139.6854735
air_234d3dbf7f3d5a50,1,7.276923077,7,23,65,Dining bar,Tōkyō-to Machida-shi Morino,35.546631,139.4386186
air_23e1b11aee2a1407,5,31.825,28.5,70,40,Cafe/Sweets,Tōkyō-to Taitō-ku Higashiueno,35.712607,139.7799956
air_23ee674e91469086,8,21.3030303,21,46,66,Cafe/Sweets,Tōkyō-to Koganei-shi Honchō,35.6994733,139.5029916
air_24b9b2a020826ede,4,17.81818182,15,50,55,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi,33.8808817,130.8734191
air_24e8414b9b07decb,2,4.794117647,4.5,8,34,Other,Tōkyō-to Shibuya-ku Higashi,35.6532174,139.7110363
air_2545dd3a00f265e2,11,26.63414634,22,63,41,Cafe/Sweets,Tōkyō-to Toshima-ku Higashiikebukuro,35.7262319,139.7232404
air_256be208a979e023,1,3.631578947,2,18,38,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_2570ccb93badde68,22,38.46268657,37,58,67,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_258ad2619d7bff9a,2,19.63157895,17.5,46,38,Izakaya,Tōkyō-to Kōtō-ku Tōyō,35.6728535,139.8174097
air_258dc112912fc458,30,57.325,53.5,98,40,Japanese food,Tōkyō-to Edogawa-ku Chūō,35.7066569,139.8684267
air_25c583983246b7b0,1,11.66666667,10.5,35,24,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_25d8e5cc57dd87d9,5,20.4,20,40,55,Western food,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_25e9888d30b386df,1,1.666666667,2,2,3,Izakaya,Tōkyō-to Shinagawa-ku Higashigotanda,35.6265683,139.7258581
air_2634e41551e9807d,1,7.328125,6,28,64,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_26c5bbeb7bb82bf1,14,27.5,29.5,37,4,Cafe/Sweets,Tōkyō-to Kita-ku Ōjihonchō,35.7528042,139.7334805
air_26f10355d9b4d82a,,,,,,Other,Ōsaka-fu Ōsaka-shi Kyōmachibori,34.6876966,135.4954131
air_275732a5db46f4d3,4,13.68656716,13,27,67,Cafe/Sweets,Tōkyō-to Setagaya-ku Okusawa,35.6021252,139.6719581
air_27e991812b0d9c92,1,23.38095238,22,49,42,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_28064154614b2e6c,2,13.7804878,14,28,41,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_287d2de7d3c93406,1,14.20895522,13,39,67,Bar/Cocktail,Tōkyō-to Toshima-ku Minamiikebukuro,35.7248234,139.7159634
air_28a9fa1ec0839375,2,21.18367347,22,39,49,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
air_28dbe91c4c9656be,12,25.75,23.5,52,12,Izakaya,Hyōgo-ken Himeji-shi Yasuda,34.815149,134.6853528
air_290e7a57b390f78e,1,8.023255814,8,18,43,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_298513175efdf261,14,26.49253731,26,46,67,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Torikai,33.5756863,130.3699764
air_2a184c1745274b2b,1,3.055555556,3,9,36,Bar/Cocktail,Miyagi-ken Sendai-shi Kamisugi,38.2690761,140.8704029
air_2a24aec099333f39,1,4.975,4,12,40,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Ōhiraki,34.6923371,135.4722289
air_2a3743e37aab04b4,2,8.535714286,7,28,28,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.5098009
air_2a485b92210c98b5,6,22.58333333,15,66,12,Bar/Cocktail,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
air_2a7f14da7fe0f699,4,10.42857143,8,19,7,Italian/French,Tōkyō-to Meguro-ku Kamimeguro,35.6414629,139.6981712
air_2aab19554f91ff82,1,29.421875,28.5,58,64,Yakiniku/Korean food,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253
air_2ac361b97630e2df,2,6.564102564,6,23,39,Bar/Cocktail,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_2b8b29ddfd35018e,1,9.765625,8,34,64,Okonomiyaki/Monja/Teppanyaki,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
air_2b9bc9f5f5168ea1,1,7.045454545,4.5,25,22,Bar/Cocktail,Miyagi-ken Sendai-shi Kamisugi,38.2690761,140.8704029
air_2bffb19a24d11729,4,14.55263158,14.5,27,38,Yakiniku/Korean food,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_2c505f9ad67d4635,5,13,12,33,38,Other,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_2c6c79d597e48096,2,13.20588235,12,30,34,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_2c6fef1ce0e13a5a,2,21.90243902,15,75,41,Italian/French,Hokkaidō Sapporo-shi Minami 3 Jōnishi,43.0554601,141.3409556
air_2c989829acbd1c6b,10,30.47457627,30,53,59,Izakaya,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951
air_2cee51fa6fdf6c0d,1,11.6557377,10,47,61,Western food,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_2d3afcb91762fe01,8,36.80597015,37,67,67,Izakaya,Fukuoka-ken Fukuoka-shi Hakata Ekimae,33.5913576,130.4148783
air_2d78d9a1f4dd02ca,2,14.92682927,15,34,41,Japanese food,Tōkyō-to Taitō-ku Higashiueno,35.712607,139.7799956
air_2e7cb1f1a2a9cd6a,8,22.97142857,23,47,35,Dining bar,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_2f8ced25216df926,5,15.1,11.5,131,40,Cafe/Sweets,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_2fc149abe33adcb4,3,22.36111111,22.5,57,36,Creative cuisine,Hyōgo-ken Nishinomiya-shi Rokutanjichō,34.7375965,135.3415643
air_2fc478dc9f0a6b31,1,6.666666667,6.5,17,36,Yakiniku/Korean food,Hokkaidō Sapporo-shi Minami 3 Jōnishi,43.0554601,141.3409556
air_2fed81034f8834e5,5,32.25,32,75,40,Other,Tōkyō-to Meguro-ku Kamimeguro,35.6414629,139.6981712
air_303bac187b53083a,1,2,1,7,8,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Torikai,33.5756863,130.3699764
air_310e467e6e625004,3,10.84615385,11.5,20,26,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614
air_3155ee23d92202da,2,14.75,12.5,34,28,Japanese food,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,37.9163674,139.0363265
air_31c753b48a657b6c,2,23.66666667,25,44,3,Italian/French,Tōkyō-to Meguro-ku Kamimeguro,35.6414629,139.6981712
air_32460819c7600037,15,38.97014925,39,63,67,Dining bar,Ōsaka-fu Ōsaka-shi Shinmachi,34.6762311,135.4860587
air_324f7c39a8410e7c,1,10.44827586,9,43,29,Izakaya,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,34.7569503,134.8411775
air_326ca454ef3558bc,2,20.14893617,17,91,47,Izakaya,Shizuoka-ken Shizuoka-shi Ōtemachi,34.9751398,138.3832429
air_32b02ba5dc2027f4,1,23.51351351,20,81,37,Izakaya,Tōkyō-to Chiyoda-ku Kanda Jinbōchō,35.6956944,139.7593864
air_32c61b620a766138,3,19.48780488,18,54,41,Dining bar,Hokkaidō Sapporo-shi Kita 24 Jōnishi,43.0908503,141.3408314
air_32f5d7cd696e3c4a,1,13.075,11,33,40,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.5098009
air_33b01025210d6007,1,8.03125,5.5,23,32,Izakaya,Ōsaka-fu Higashiōsaka-shi Aramotokita,34.6793301,135.6010123
air_3440e0ea1b70a99b,3,17.75609756,17,45,41,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_346ade7d29230634,2,7.24137931,7,18,58,Izakaya,Hiroshima-ken Hiroshima-shi Nagarekawachō,34.3889694,132.4630947
air_347be2c4feeb408b,8,18.6,20,31,5,Japanese food,Tōkyō-to Edogawa-ku Chūō,35.7066569,139.8684267
air_349278fa964bb12f,6,16.90243902,17,26,41,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_3525f11ef0bf0c35,11,36.32307692,34,113,65,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Shinmachi,34.6762311,135.4860587
air_35512c42db0868da,2,8.189655172,8,21,58,Dining bar,Tōkyō-to Musashino-shi Midorichō,35.7177841,139.56626
air_3561fd1c0bce6a95,5,15.66666667,11,35,6,Italian/French,Tōkyō-to Ōta-ku Kamiikedai,35.602201,139.6976891
air_35c4732dcbfe31be,1,7.8,7,29,65,Dining bar,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.1978525
air_36429b5ca4407b3e,1,14.73170732,14,43,41,Dining bar,Hokkaidō Sapporo-shi Kita 24 Jōnishi,43.0908503,141.3408314
air_36bcf77d3382d36e,6,22.1641791,19,58,67,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951
air_37189c92b6c761ec,1,15.5862069,7,167,58,Bar/Cocktail,Hokkaidō Asahikawa-shi 6 Jōdōri,43.7706355,142.364819
air_375a5241615b5e22,2,7.368421053,7,18,38,Dining bar,Miyagi-ken Sendai-shi Kamisugi,38.2690761,140.8704029
air_382f5ace4e2247b8,1,9.558823529,8,63,34,Cafe/Sweets,Hiroshima-ken Fukuyama-shi Higashisakuramachi,34.4858993,133.3623127
air_383f5b2f8d345a49,2,11.73134328,10,37,67,Dining bar,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
air_38746ffe9aa20c7e,2,11,8,29,35,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_396166d47733d5c9,2,15.36111111,11.5,51,36,Yakiniku/Korean food,Hokkaidō Sapporo-shi Atsubetsuchūō 1 Jō,43.0364075,141.4747892
air_396942e6423a2145,1,6.382352941,5.5,26,34,Dining bar,Tōkyō-to Toshima-ku Sugamo,35.7379419,139.7310979
air_397d3f32a7196aa2,6,19.75,16.5,42,36,Dining bar,Tōkyō-to Shinagawa-ku Hiromachi,35.6092261,139.7301861
air_3980af67be35afdb,2,10.15151515,10,22,33,Izakaya,Tōkyō-to Minato-ku Akasaka,35.6749184,139.736775
air_3982a2c4ea2ed431,1,18.14,16,48,50,Dining bar,Fukuoka-ken Fukuoka-shi Takatori,33.5808273,130.3507639
air_399904bdb7685ca0,4,28.73015873,26,59,63,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.5098009
air_39dccf7df20b1c6a,1,19.17910448,20,41,67,Izakaya,Hyōgo-ken Takarazuka-shi Tōyōchō,34.7997673,135.3600729
air_3a8a3f8fb5cd7f88,1,18.125,19.5,46,24,Cafe/Sweets,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
air_3aa839e8e0cb6c87,1,26.10526316,25,53,38,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_3ac24136722e2291,1,16.97368421,18,37,38,Dining bar,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.1978525
air_3b20733899b5287f,10,34.27272727,34,101,33,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614
air_3b6438b125086430,3,14.54411765,14,37,68,Bar/Cocktail,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
air_3bb99a1fe0583897,4,29.0625,30,51,64,Izakaya,Miyagi-ken Sendai-shi Kamisugi,38.2690761,140.8704029
air_3bd49f98ab7f36ab,1,5.088235294,4.5,17,34,Bar/Cocktail,Tōkyō-to Toshima-ku Higashiikebukuro,35.7262319,139.7232404
air_3c05c8f26c611eb9,2,18.42424242,18,43,66,Izakaya,Hiroshima-ken Fukuyama-shi Higashisakuramachi,34.4858993,133.3623127
air_3c938075889fc059,2,25.42105263,23,72,38,Japanese food,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_3cad29d1a23209d2,3,8.958333333,9,21,48,Japanese food,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_3caef3f76b8f26c5,4,16.75925926,16,59,54,Other,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_3d3a2b509180e798,3,13.73529412,14,27,34,Japanese food,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253
air_3e6cea17a9d2c0f1,2,14.35820896,13,49,67,Izakaya,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,34.7569503,134.8411775
air_3e93f3c81008696d,2,19.38709677,13,90,31,Okonomiyaki/Monja/Teppanyaki,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
air_3f91d592acd6cc0b,5,16.60526316,16,29,38,Yakiniku/Korean food,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.5098009
air_401b39f97e56b939,2,10.74545455,9,32,55,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_4043b7ccfbffa732,5,42.46774194,41.5,96,62,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Fuminosato,34.638969,135.5184958
air_4092cfbd95a3ac1b,3,26.575,24.5,83,40,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.5098009
air_40953e2d8b4f2857,1,12.48571429,12,58,35,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_40f6193ea3ed1b91,1,12.57352941,12,29,68,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.5098009
air_414ff459ed18fa48,3,13.48780488,13,36,41,Cafe/Sweets,Tōkyō-to Meguro-ku Jiyūgaoka,35.6092076,139.6693609
air_41bbf6e1d9814c4b,1,5.34375,5,11,64,Cafe/Sweets,Shizuoka-ken Hamamatsu-shi Motoshirochō,34.7108955,137.7259397
air_421670f21da5ba31,2,11.76923077,11.5,21,26,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
